run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR5988480	SAMN07571772	SRX3144255	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988480/SRR5988480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/000/SRR5988480/SRR5988480_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/000/SRR5988480	GSM2758845	14_NP(a)_B108T7	
SRR5988482	SAMN07571770	SRX3144257	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988482/SRR5988482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/002/SRR5988482/SRR5988482_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/002/SRR5988482	GSM2758847	14_NP(a)_B108T76	
SRR5988484	SAMN07571768	SRX3144259	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988484/SRR5988484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988484/SRR5988484_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988484	GSM2758849	14_NB(a)_B108T78	
SRR5988491	SAMN07571761	SRX3144266	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988491/SRR5988491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/001/SRR5988491/SRR5988491_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/001/SRR5988491	GSM2758856	14_NB(a)_B108T80	
SRR5988498	SAMN07571754	SRX3144273	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988498/SRR5988498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/008/SRR5988498/SRR5988498_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/008/SRR5988498	GSM2758863	14_WE_B108T26	
SRR5988503	SAMN07571749	SRX3144278	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988503/SRR5988503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/003/SRR5988503/SRR5988503_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/003/SRR5988503	GSM2758868	11-11.5_WE_B108T35	
SRR5988505	SAMN07571812	SRX3144280	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988505/SRR5988505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988505/SRR5988505_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988505	GSM2758870	12.5_WE_B108T37	
SRR5988444	SAMN07571748	SRX3144219	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988444/SRR5988444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/004/SRR5988444/SRR5988444_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/004/SRR5988444	GSM2758809	14_NB(a)_B100T1	
SRR5988509	SAMN07571805	SRX3144284	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988509/SRR5988509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/009/SRR5988509/SRR5988509_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/009/SRR5988509	GSM2758874	18-19_WE_B108T41	
SRR5988515	SAMN07571802	SRX3144290	PRJNA400602	8355	Xenopus laevis	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988515/SRR5988515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR598/005/SRR5988515/SRR5988515_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR598/005/SRR5988515	GSM2758880	16-17_WE_B108T47	
